l_rate,num_hidden_neurons,weights_distr,batch_size,act_f,lambda,optimizer,k,score
0.0005,"[200, 200]",gaussian,1,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.376422834863558
0.001,"[200, 200]",gaussian,4,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.419168885471234
0.0005,"[200, 200]",gaussian,1,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.432111142416998
0.001,"[200, 200]",gaussian,8,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.460924816900957
0.001,"[200, 200]",gaussian,8,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.463280770705112
0.001,"[200, 200]",gaussian,1,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.4807080828982957
0.001,"[200, 200]",gaussian,4,relu,0.0,"('nesterov', 0.9)",5,1.48540190952492
0.001,"[200, 200]",gaussian,1,relu,0.0001,"('trivial', 0.5)",5,1.4868598452134656
0.001,"[200, 200]",gaussian,4,relu,0.0001,"('trivial', 0.9)",5,1.4874994727135005
0.001,"[200, 200]",gaussian,1,relu,0.0001,"('nesterov', 0.5)",5,1.4936133633798232
0.001,"[200, 200]",gaussian,4,relu,0.0001,"('nesterov', 0.9)",5,1.4973632205740397
0.005,"[150, 150]",gaussian,124,relu,0.0,"('nesterov', 0.5)",5,1.5013607203462809
0.0005,"[150, 150]",gaussian,1,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.503394942212772
0.001,"[150, 150]",gaussian,1,relu,0.0001,"('trivial', 0.5)",5,1.5038340355493018
0.001,"[150, 150]",gaussian,1,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.5053263024864536
0.005,"[200, 200]",gaussian,4,relu,0.0001,"('trivial', 0.0)",5,1.5122671216011148
0.001,"[150, 150]",gaussian,4,relu,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.5215971097514285
0.001,"[200, 200]",gaussian,124,relu,0.0001,"('nesterov', 0.9)",5,1.5249337660902405
0.001,"[150, 150]",gaussian,4,relu,0.0,"('adam', 0.9, 0.999, 1e-08)",5,1.5258107157032386
0.005,"[150, 150]",gaussian,124,relu,0.0001,"('nesterov', 0.5)",5,1.5264387529130303
0.005,"[200, 200]",gaussian,124,relu,0.0001,"('nesterov', 0.5)",5,1.5292837930789551
0.001,"[150, 150]",gaussian,4,tanh,0.0001,"('adam', 0.9, 0.999, 1e-08)",5,1.5310529466935852
