num_hidden_neurons,l_rate,weights_distr,batch_size,act_f,lambda,optimizer,k,score
"[200, 200]",0.05,gaussian,64,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4587909345411811
"[100, 100]",0.2,gaussian,32,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4602370275701153
"[200, 200]",0.05,gaussian,32,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.4764080855129049
"[200, 200]",0.05,gaussian,32,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.4903122948003013
"[5, 5, 5]",0.01,gaussian,169,tanh,0.001,"('trivial', 0.5)",3,0.49874895597288
"[200, 200]",0.2,gaussian,169,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.5202586894833529
"[5, 5, 5]",0.2,gaussian,32,tanh,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5449444916161179
"[5, 5, 5]",0.1,gaussian,64,logistic,0.0,"('trivial', 0.9)",3,0.5453681536899798
"[5, 5, 5]",0.001,gaussian,16,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5469772780388449
"[5, 5, 5]",0.4,gaussian,169,logistic,0.0,"('trivial', 0.0)",3,0.5519281962702751
"[5, 5]",0.001,gaussian,64,tanh,0.001,"('trivial', 0.9)",3,0.5550467938291849
"[200, 200]",0.1,gaussian,32,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5567069422338943
[20],0.6,gaussian,169,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5568850194315865
"[5, 5, 5]",0.4,gaussian,169,logistic,0.001,"('trivial', 0.5)",3,0.5594344313229654
[3],0.001,gaussian,8,relu,0.001,"('trivial', 0.0)",3,0.5620064153592955
[150],0.1,gaussian,16,logistic,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.56476063509876
[10],0.001,gaussian,16,relu,0.001,"('nesterov', 0.5)",3,0.5774864337664735
"[100, 100]",0.1,gaussian,32,tanh,0.001,"('adam', 0.9, 0.999, 1e-08)",3,0.5785173599681639
"[200, 200]",0.05,gaussian,16,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.5789317114196034
[100],0.1,gaussian,1,logistic,0.0,"('adam', 0.9, 0.999, 1e-08)",3,0.580686620985953
[3],0.001,gaussian,16,relu,0.0,"('trivial', 0.0)",3,0.5848284832067474
"[5, 5, 5]",0.01,gaussian,4,logistic,0.001,"('nesterov', 0.5)",3,0.5869881976104941
[3],0.001,gaussian,16,relu,0.0,"('nesterov', 0.5)",3,0.5886028377028368
[3],0.001,gaussian,32,relu,0.0,"('nesterov', 0.9)",3,0.5891345940636056
[5],0.01,gaussian,169,relu,0.0,"('trivial', 0.0)",3,0.5906958036728557
"[5, 5]",0.001,gaussian,8,logistic,0.0,"('nesterov', 0.9)",3,0.5916046639273658
"[5, 5, 5]",0.01,gaussian,4,logistic,0.001,"('trivial', 0.5)",3,0.5917351978497729
